question,answer,qA
"#Q What monarch transformed the Tsardom of Russia into the Russian Empire?
",Peter I the Great,"['#Q What monarch transformed the Tsardom of Russia into the Russian Empire?\n'
 '^ Peter I the Great\n' 'A Alexander I (The Blessed)\n'
 'B Peter I the Great\n' 'C Paul I\n' 'D Constantine I\n']"
"#Q What dynasty ruled France before the Capetian dynasty?
",Carolingian dynasty,"['#Q What dynasty ruled France before the Capetian dynasty?\n'
 '^ Carolingian dynasty\n' 'A Hapsburg dynasty\n'
 'B Carolingian dynasty\n' 'C Merovingian dynasty\n' 'D Bourbon dynasty\n']"
"#Q Frederick I Barbarossa, who was crowned Holy Roman Emperor in 1155, belonged to what royal dynasty?
",Hohenstaufen,"['#Q Frederick I Barbarossa, who was crowned Holy Roman Emperor in 1155, belonged to what royal dynasty?\n'
 '^ Hohenstaufen\n' 'A Austrian Habsburgs\n' 'B Hohenstaufen\n'
 'C Spanish Habsburg\n' 'D German Habsburgs\n']"
"#Q What King of France was popularly known as the Sun King?
",Louis XIV,"['#Q What King of France was popularly known as the Sun King?\n'
 '^ Louis XIV\n' 'A Louis XVI\n' 'B Louis X\n' 'C Louis XV\n'
 'D Louis XIV\n']"
"#Q What Civil War battle ended on July 3, 1863 with a Union victory?
",Gettysburg,"['#Q What Civil War battle ended on July 3, 1863 with a Union victory?\n'
 '^ Gettysburg\n' 'A Gettysburg\n' 'B Appomattox Courthouse\n'
 'C Antietam\n' 'D Second Bull Run\n']"
"#Q What General was named Commander of the UN forces in Korea on July 8, 1950?
",Douglas MacArthur,"['#Q What General was named Commander of the UN forces in Korea on July 8, 1950?\n'
 '^ Douglas MacArthur\n' 'A Douglas MacArthur\n' 'B Matthew Ridgway\n'
 'C Omar Bradley\n' 'D George Patton\n']"
"#Q What song hit # 1 on the Billboard Charts on July 9, 1955?
",Rock around the Clock,"['#Q What song hit # 1 on the Billboard Charts on July 9, 1955?\n'
 '^ Rock around the Clock\n' 'A Rock around the Clock\n' 'B The Twist\n'
 'C Johnny B Good\n' 'D Teddy Bear\n']"
"#Q Who was sworn in as the 13th President on July 10, 1850 following the death of President Zachary Taylor?
",Millard Fillmore,"['#Q Who was sworn in as the 13th President on July 10, 1850 following the death of President Zachary Taylor?\n'
 '^ Millard Fillmore\n' 'A Franklin Pierce\n' 'B James Buchanan\n'
 'C Millard Fillmore\n' 'D James Polk\n']"
"#Q On July 11, 1804, V.P. Aaron Burr fatally wounded this famous founding father in a duel.
",Alexander Hamilton,"['#Q On July 11, 1804, V.P. Aaron Burr fatally wounded this famous founding father in a duel.\n'
 '^ Alexander Hamilton\n' 'A Alexander Hamilton\n' 'B Thomas Jefferson\n'
 'C John Hancock\n' 'D James Madison\n']"
"#Q What city opened the first Worlds Fair in the United States on July 14, 1853?
",New York City,"['#Q What city opened the first Worlds Fair in the United States on July 14, 1853?\n'
 '^ New York City\n' 'A St. Louis\n' 'B Chicago\n' 'C New York City\n'
 'D Boston\n']"
"#Q What famous department chain closed it last stores on July 17, 1997?
",Woolworths,"['#Q What famous department chain closed it last stores on July 17, 1997?\n'
 '^ Woolworths\n' 'A Woolworths\n' 'B Burdines\n' 'C Montgomery Ward\n'
 'D Eckerds\n']"
"#Q Who was shot and killed by federal agents on July 22, 1934?
",John Dillinger,"['#Q Who was shot and killed by federal agents on July 22, 1934?\n'
 '^ John Dillinger\n' 'A Al Capone\n' 'B Bonnie Parker\n'
 'C John Dillinger\n' 'D Bugsy Malone\n']"
"#Q What federal institution was founded on July 26, 1908?
",FBI,"['#Q What federal institution was founded on July 26, 1908?\n' '^ FBI\n'
 'A NSA\n' 'B CIA\n' 'C FBI\n' 'D OSS\n']"
"#Q What President signed legislation on July 29, 1958 to create NASA?
",Eisenhower,"['#Q What President signed legislation on July 29, 1958 to create NASA?\n'
 '^ Eisenhower\n' 'A Truman\n' 'B Eisenhower\n' 'C Kennedy\n' 'D Nixon\n']"
"#Q What was the original meaning of the term samurai in Japanese language?
",Those who serve in close attendance to nobility,"['#Q What was the original meaning of the term samurai in Japanese language?\n'
 '^ Those who serve in close attendance to nobility\n'
 'A Those who are sons of the warrior dragon\n'
 'B Those who listen to the wind whispering in the trees\n'
 'C Those who follow the way of the sword\n'
 'D Those who serve in close attendance to nobility\n']"
"#Q What does the term seppuku, connected with the culture of Japanese samurai, refer to?
",Suicide,"['#Q What does the term seppuku, connected with the culture of Japanese samurai, refer to?\n'
 '^ Suicide\n' 'A Suicide\n' 'B A vow\n'
 'C Silence kept before a battle\n' 'D A weapon\n']"
"#Q What is the name of the slightly curved single-edged sword used by Japanese samurai warriors?
",Katana,"['#Q What is the name of the slightly curved single-edged sword used by Japanese samurai warriors?\n'
 '^ Katana\n' 'A Yari\n' 'B Katana\n' 'C Yumi\n' 'D Teppo\n']"
"#Q What Eastern philosophy has greatly influenced the Japanese samurai culture?
",Buddhism,"['#Q What Eastern philosophy has greatly influenced the Japanese samurai culture?\n'
 '^ Buddhism\n' 'A Jainism\n' 'B Sufism\n' 'C Zoroastrianism\n'
 'D Buddhism\n']"
"#Q Who would arrange the marriage of the Japanese samurai by tradition?
",Someone with the same or higher rank,"['#Q Who would arrange the marriage of the Japanese samurai by tradition?\n'
 '^ Someone with the same or higher rank\n' 'A His parents\n'
 'B The brides parents\n' 'C Someone with the same or higher rank\n'
 'D He would do it himself\n']"
"#Q What is the term for the person who was usually the master of the Japanese samurai?
",Daimyo,"['#Q What is the term for the person who was usually the master of the Japanese samurai?\n'
 '^ Daimyo\n' 'A Daisho\n' 'B Daimyo\n' 'C Wakizashi\n' 'D Jigai\n']"
"#Q Bushido is the philosophy and code of conduct of the Japanese samurai. What does the word Bushido literally mean?
",Way of the warrior,"['#Q Bushido is the philosophy and code of conduct of the Japanese samurai. What does the word Bushido literally mean?\n'
 '^ Way of the warrior\n' 'A Way of the heart\n' 'B Way of the warrior\n'
 'C Way of the sword\n' 'D Way of honor\n']"
"#Q What English sailor is believed to be the first Caucasian to receive the honor of becoming a samurai?
",William Adams,"['#Q What English sailor is believed to be the first Caucasian to receive the honor of becoming a samurai?\n'
 '^ William Adams\n' 'A Francis Drake\n' 'B John Smith\n'
 'C John Franklin\n' 'D William Adams\n']"
"#Q In what century is James Clavells samurai novel Shogun set?
",Seventeenth century,"['#Q In what century is James Clavells samurai novel Shogun set?\n'
 '^ Seventeenth century\n' 'A Tenth century\n' 'B Fifteenth century\n'
 'C Seventeenth century\n' 'D Twelfth century\n']"
"#Q The Japanese samurai warriors were mostly illiterate in the past.
",False,"['#Q The Japanese samurai warriors were mostly illiterate in the past.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q When was the Battle of Antietam fought?\n']"
"#Q When was the Battle of Antietam fought?
","September, 1862","['#Q When was the Battle of Antietam fought?\n' '^ September, 1862\n'
 'A August, 1862\n' 'B October, 1862\n' 'C September, 1862\n'
 'D December, 1862\n']"
"#Q Who was the Union commander at the Battle of Antietam?
",George McClellan,"['#Q Who was the Union commander at the Battle of Antietam?\n'
 '^ George McClellan\n' 'A Phil Kearney\n' 'B Israel Richardson\n'
 'C George Thomas\n' 'D George McClellan\n']"
"#Q Which Union general, wounded in the foot at Antietam, would, within six months time, be the commander of the Army of the Potomac?
",Joe Hooker,"['#Q Which Union general, wounded in the foot at Antietam, would, within six months time, be the commander of the Army of the Potomac?\n'
 '^ Joe Hooker\n' 'A John Sedgwick\n' 'B Ambrose Burnside\n'
 'C Joe Hooker\n' 'D Samuel Crawford\n']"
"#Q How many soldiers - Union and Confederate - were casualties at Antietam?
","23,000","['#Q How many soldiers - Union and Confederate - were casualties at Antietam?\n'
 '^ 23,000\n' 'A 20,000\n' 'B 25,000\n' 'C 23,000\n' 'D 17,000\n']"
"#Q Which of these landmarks would NOT be found on the Antietam battlefield?
",Sherfys Peach Orchard,"['#Q Which of these landmarks would NOT be found on the Antietam battlefield?\n'
 '^ Sherfys Peach Orchard\n' 'A Sherfys Peach Orchard\n' 'B West Woods\n'
 'C East Woods\n' 'D Millers Cornfield\n']"
"#Q Who was the Confederate commander at the Battle of Antietam?
",Robert E. Lee,"['#Q Who was the Confederate commander at the Battle of Antietam?\n'
 '^ Robert E. Lee\n' 'A Stonewall Jackson\n' 'B George B. McClellan\n'
 'C James Longstreet\n' 'D Robert E. Lee\n']"
"#Q How long did the Battle of Antietam last?
",1 day,"['#Q How long did the Battle of Antietam last?\n' '^ 1 day\n' 'A 7 days\n'
 'B 5 days\n' 'C 1 day\n' 'D 3 days\n']"
"#Q Who served as President of the Confederate States of America at the time of the Battle of Antietam?
",Jefferson Davis,"['#Q Who served as President of the Confederate States of America at the time of the Battle of Antietam?\n'
 '^ Jefferson Davis\n' 'A Jefferson Davis\n' 'B George Davis\n'
 'C Alexander Stephens\n' 'D George W. Randolph\n']"
"#Q Which battle preceded the Battle of Antietam?
",The Second Battle of Bull Run,"['#Q Which battle preceded the Battle of Antietam?\n'
 '^ The Second Battle of Bull Run\n' 'A Battle of Chickamauga\n'
 'B The Second Battle of Bull Run\n' 'C The Battle of Chancellorsville\n'
 'D The Battle of Gettysburg\n']"
"#Q During what century is the King Arthur believed to have lived?
",6th century AD,"['#Q During what century is the King Arthur believed to have lived?\n'
 '^ 6th century AD\n' 'A 10th century AD\n' 'B 6th century AD\n'
 'C 8th century AD\n' 'D 4th century AD\n']"
"#Q The Byzantine period began in this century which also saw the  Valerians massacre of Christians.
",3rd century AD,"['#Q The Byzantine period began in this century which also saw the  Valerians massacre of Christians.\n'
 '^ 3rd century AD\n' 'A 2nd century BC\n' 'B 6th century AD\n'
 'C 3rd century AD\n' 'D 3rd century BC\n']"
"#Q Nostradamus, Martin Luther and Elizabeth I of England lived during what century?
",16th century AD,"['#Q Nostradamus, Martin Luther and Elizabeth I of England lived during what century?\n'
 '^ 16th century AD\n' 'A 13th century AD\n' 'B 14th century AD\n'
 'C 18th century AD\n' 'D 16th century AD\n']"
"#Q The first novel ever is believed to have been written in this century by the Japanese Lady Murasaki Shikibu.
",11th century AD,"['#Q The first novel ever is believed to have been written in this century by the Japanese Lady Murasaki Shikibu.\n'
 '^ 11th century AD\n' 'A 5th century AD\n' 'B 2nd century BC\n'
 'C 3rd century AD\n' 'D 11th century AD\n']"
"#Q Julius Caesar, Marcus Antonius, and Cleopatra VII of Egypt all lived in this century.
",1st century BC,"['#Q Julius Caesar, Marcus Antonius, and Cleopatra VII of Egypt all lived in this century.\n'
 '^ 1st century BC\n' 'A 1st century AD\n' 'B 1st century BC\n'
 'C 3rd century AD\n' 'D 3rd century BC\n']"
"#Q What century marked the fall of the Western Roman Empire?
",5th century AD,"['#Q What century marked the fall of the Western Roman Empire?\n'
 '^ 5th century AD\n' 'A 9th century AD\n' 'B 5th century AD\n'
 'C 3rd century AD\n' 'D 7th century AD\n']"
"#Q During this century, the condom, the land mine and the sandpaper were invented.
",13th century AD,"['#Q During this century, the condom, the land mine and the sandpaper were invented.\n'
 '^ 13th century AD\n' 'A 17th century AD\n' 'B 15th century AD\n'
 'C 3rd century AD\n' 'D 13th century AD\n']"
"#Q In what century were the fountain pen, shaving soap and street lamps invented?
",9th century AD,"['#Q In what century were the fountain pen, shaving soap and street lamps invented?\n'
 '^ 9th century AD\n' 'A 12th century AD\n' 'B 14th century AD\n'
 'C 9th century AD\n' 'D 16th century AD\n']"
"#Q In what century did the Black Death kill about one third of the European population?
",14th century AD,"['#Q In what century did the Black Death kill about one third of the European population?\n'
 '^ 14th century AD\n' 'A 4th century AD\n' 'B 14th century AD\n'
 'C 8th century AD\n' 'D 10th century AD\n']"
"#Q In this century, the decline of the Classical Maya civilization began, and Charlemagne was crowned the first Holy Roman Emperor by Pope Leo III.
",8th century AD,"['#Q In this century, the decline of the Classical Maya civilization began, and Charlemagne was crowned the first Holy Roman Emperor by Pope Leo III.\n'
 '^ 8th century AD\n' 'A 13th century AD\n' 'B 11th century AD\n'
 'C 8th century AD\n' 'D 16th century AD\n']"
"#Q What does the term Mesozoic mean?
",Middle life,"['#Q What does the term Mesozoic mean?\n' '^ Middle life\n'
 'A Ancient life\n' 'B Middle life\n' 'C Age of ancient reptiles\n'
 'D Recent life\n']"
"#Q The base of the Mesozoic is established by what major event in the history of life on Earth?
",A mass extinction 251 million years ago,"['#Q The base of the Mesozoic is established by what major event in the history of life on Earth?\n'
 '^ A mass extinction 251 million years ago\n'
 'A A mass extinction 251 million years ago\n'
 'B The formation of a super-continent\n'
 'C An increase in biodiversity\n' 'D None of these\n']"
"#Q Oxygen levels during the Mesozoic were lower than todays levels.
",True,"['#Q Oxygen levels during the Mesozoic were lower than todays levels.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q What super-continent began to rift apart during the Mesozoic era?\n']"
"#Q What super-continent began to rift apart during the Mesozoic era?
",Pangaea,"['#Q What super-continent began to rift apart during the Mesozoic era?\n'
 '^ Pangaea\n' 'A Pangaea\n' 'B Euramerica\n' 'C Rodinia\n'
 'D None of these\n']"
