question,answer,qA
"#Q Which of the following statements is not correct?
",The movie The Third Man was a financial flop when it  was released in 1951.,"['#Q Which of the following statements is not correct?\n'
 '^ The movie The Third Man was a financial flop when it  was released in 1951.\n'
 'A Burt Lancaster starred in Vera Cruz, His Majesty OKeefe and Apache.\n'
 'B Expresso Bongo, Rock, Rock, Rock,  and Hot Rod Girl were all popular teenage movies in the 1950s.\n'
 'C The movie The Third Man was a financial flop when it  was released in 1951.\n'
 'D The 1955 movie,Marty, became the shortest film to win the Best Movie Oscar.\n']"
"#Q One of the most famous cases of poisoning is that of the Bulgarian Georgi Markov, who was poisoned by ricin. The latter was inserted into his body through this.
",Stabbing with an umbrella,"['#Q One of the most famous cases of poisoning is that of the Bulgarian Georgi Markov, who was poisoned by ricin. The latter was inserted into his body through this.\n'
 '^ Stabbing with an umbrella\n' 'A Stabbing with an umbrella\n'
 'B Taking ricin by mistake\n' 'C Eating a cake with ricin in it\n'
 'D Inhaling ricin vapours\n']"
"#Q One of the most popular fictional cases of poisoning occurs in the movie Arsenic and Old Lace, based on a play by this playwright.
",Joseph Kesselring,"['#Q One of the most popular fictional cases of poisoning occurs in the movie Arsenic and Old Lace, based on a play by this playwright.\n'
 '^ Joseph Kesselring\n' 'A David Mamet\n' 'B David Auburn\n'
 'C Joseph Kesselring\n' 'D Edward Albee\n']"
"#Q A fictional case of poisoning is observed in Agatha Christies And Then There Were None. In the novel, this character dies of poisoning.
",Emily Brent,"['#Q A fictional case of poisoning is observed in Agatha Christies And Then There Were None. In the novel, this character dies of poisoning.\n'
 '^ Emily Brent\n' 'A Dr. Edward George Armstrong\n' 'B Emily Brent\n'
 'C William Henry Blore\n' 'D Philip Lombard\n']"
"#Q Arsenic became a popular murder weapon in the Middle Ages, because symptoms resembled those of this disease.
",Cholera,"['#Q Arsenic became a popular murder weapon in the Middle Ages, because symptoms resembled those of this disease.\n'
 '^ Cholera\n' 'A Pneumonia\n' 'B Plague\n' 'C Cholera\n' 'D Leprosy\n']"
"#Q There is a theory that Napoleon Bonaparte was poisoned with this substance.
",Arsenic,"['#Q There is a theory that Napoleon Bonaparte was poisoned with this substance.\n'
 '^ Arsenic\n' 'A Ethanol\n' 'B Formaldehyde\n' 'C Arsenic\n'
 'D Strychnine\n']"
"#Q Clare Boothe Luce (the American ambassador to Italy in the years just following World War II) died of arsenic poisoning.
",False,"['#Q Clare Boothe Luce (the American ambassador to Italy in the years just following World War II) died of arsenic poisoning.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q Until the French Revolution, this torture device was used to execute those accused of treason. It was also used on nobles to provide a swift and humane death.\n']"
"#Q Until the French Revolution, this torture device was used to execute those accused of treason. It was also used on nobles to provide a swift and humane death.
",Guillotine,"['#Q Until the French Revolution, this torture device was used to execute those accused of treason. It was also used on nobles to provide a swift and humane death.\n'
 '^ Guillotine\n' 'A Rack\n' 'B Iron Maiden\n' 'C Guillotine\n'
 'D Hanging cage\n']"
"#Q This instrument of torture was thrust into the victimsâ€™ chin and sternum rendering them motionless.
",The Heretics Fork,"['#Q This instrument of torture was thrust into the victimsâ€™ chin and sternum rendering them motionless.\n'
 '^ The Heretics Fork\n' 'A The Princes Prod\n' 'B The Sorcerers Staff\n'
 'C The Kings Spear\n' 'D The Heretics Fork\n']"
"#Q This pyramid-shaped seat was used to extract confessions from the victims who were placed on top of it.
",The Judas Cradle,"['#Q This pyramid-shaped seat was used to extract confessions from the victims who were placed on top of it.\n'
 '^ The Judas Cradle\n' 'A The Iron Spike\n' 'B The Swing of Death\n'
 'C The Point of No Return\n' 'D The Judas Cradle\n']"
"#Q This torture device was used to rip the victimâ€™s flesh to shreds. Once this was accomplished, the victim would be left to dangle alive, with arms bound, left at the mercy of flies and other insects.
",Cats paws,"['#Q This torture device was used to rip the victimâ€™s flesh to shreds. Once this was accomplished, the victim would be left to dangle alive, with arms bound, left at the mercy of flies and other insects.\n'
 '^ Cats paws\n' 'A The shredder\n' 'B Cats claws\n' 'C The claw\n'
 'D Cats paws\n']"
"#Q The head crusher was used as a swift and humane form of execution for the nobleman. It was designed in such a manner that upon impact it would cause immediate death of its victim.
",False,"['#Q The head crusher was used as a swift and humane form of execution for the nobleman. It was designed in such a manner that upon impact it would cause immediate death of its victim.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q This mobile chamber was used all over Europe as a final resting place for criminals who survived other torture devices. The victims of this device would often starve to death.\n']"
"#Q This mobile chamber was used all over Europe as a final resting place for criminals who survived other torture devices. The victims of this device would often starve to death.
",The hanging cage,"['#Q This mobile chamber was used all over Europe as a final resting place for criminals who survived other torture devices. The victims of this device would often starve to death.\n'
 '^ The hanging cage\n' 'A The hanging cage\n' 'B The death dorm\n'
 'C The iron cage\n' 'D The death chamber\n']"
"#Q This device was commonly used on witches who were believed to be carrying the Satanâ€™s child.
",The saw,"['#Q This device was commonly used on witches who were believed to be carrying the Satanâ€™s child.\n'
 '^ The saw\n' 'A The pear\n' 'B The sword\n' 'C The blade\n'
 'D The saw\n']"
"#Q He was one of the founders of the YIPPIES and helped announce the candidacy of Pigasus the Pig in Chicago during the 1968 Democratic National Convention. Who was the author of Steal This Book?
",Abbie Hoffman,"['#Q He was one of the founders of the YIPPIES and helped announce the candidacy of Pigasus the Pig in Chicago during the 1968 Democratic National Convention. Who was the author of Steal This Book?\n'
 '^ Abbie Hoffman\n' 'A Abbie Hoffman\n' 'B Bobby Seale\n'
 'C Tom Hayden\n' 'D David Dellinger\n']"
"#Q Just like Ivory Soap, his product was supposed to be over 99% pure. This gentleman, the grandson of a United States Senator, was the first underground chemist to produce pure LSD in mass quantity. Who was the sound man and chemist for the Grateful Dead?
",Owsley Stanley,"['#Q Just like Ivory Soap, his product was supposed to be over 99% pure. This gentleman, the grandson of a United States Senator, was the first underground chemist to produce pure LSD in mass quantity. Who was the sound man and chemist for the Grateful Dead?\n'
 '^ Owsley Stanley\n' 'A Wavey Gravey\n' 'B Owsley Stanley\n'
 'C Country Joe\n' 'D Jerry Garcia\n']"
"#Q What  woman became the third female to make the FBIs 10 Most Wanted List on August 18th 1970 when she went on the run after her alleged participation in the kidnapping and murder of Judge Harold Harley from the Marin County Hall of Justice?
",Angela Davis,"['#Q What  woman became the third female to make the FBIs 10 Most Wanted List on August 18th 1970 when she went on the run after her alleged participation in the kidnapping and murder of Judge Harold Harley from the Marin County Hall of Justice?\n'
 '^ Angela Davis\n' 'A Susan Saxe\n' 'B Ruth Eisemann-Schier\n'
 'C Bernadine Dorn\n' 'D Angela Davis\n']"
"#Q In 1970, in a span of 72 hours, how many women made the FBIS 10 Most Wanted List?
",3,"['#Q In 1970, in a span of 72 hours, how many women made the FBIS 10 Most Wanted List?\n'
 '^ 3\n' 'A 5\n' 'B 2\n' 'C 3\n' 'D 4\n']"
"#Q Tin soldiers and Nixon coming
",Were finally on our own.,"['#Q Tin soldiers and Nixon coming\n' 'Were finally on our own.\n'
 'are the beginning lyrics of a Neil Young song about one states national guard firing into a group of student protesters. On what college campus did a tragic shooting leave four college students dead?\n'
 '^ Kent State University\n' 'A University of California at Berkley\n'
 'B Boston College\n']"
"#Q Name the first great Greek tragic playwright who is now acknowledged as the Father of Drama?
",Aeschylus,"['#Q Name the first great Greek tragic playwright who is now acknowledged as the Father of Drama?\n'
 '^ Aeschylus\n' 'A Aeschylus\n' 'B Aesop\n' 'C Euripides\n'
 'D Sophocles\n']"
"#Q Which Greek historian is known as the Father of History?
",Herodotus,"['#Q Which Greek historian is known as the Father of History?\n'
 '^ Herodotus\n' 'A Plato\n' 'B Herodotus\n' 'C Titus\n' 'D Isocrates\n']"
"#Q Which Athenian politician and general led the disastrous attack on Spartan bases in Sicily?
",Alcibiades,"['#Q Which Athenian politician and general led the disastrous attack on Spartan bases in Sicily?\n'
 '^ Alcibiades\n' 'A Spartacus\n' 'B Galen\n' 'C Alcibiades\n'
 'D Leonidas\n']"
"#Q Who was the father of Alexander the Great?
",Philip II,"['#Q Who was the father of Alexander the Great?\n' '^ Philip II\n'
 'A Hercalesian III\n' 'B Triton\n' 'C Philip II\n' 'D Lysander\n']"
"#Q Who was the king of Sparta and leader of the 300 Spartans at the famous battle at Thermopylae?
",Leonidas,"['#Q Who was the king of Sparta and leader of the 300 Spartans at the famous battle at Thermopylae?\n'
 '^ Leonidas\n' 'A Aristides\n' 'B Pericles\n' 'C Leonidas\n'
 'D Philip I\n']"
"#Q Name Alexander the Greats favorite horse.
",Bucephalus,"['#Q Name Alexander the Greats favorite horse.\n' '^ Bucephalus\n'
 'A Xerxes\n' 'B Sargon\n' 'C Bucephalus\n' 'D Hammurabi\n']"
"#Q Who was the statesman who re-codified the laws of Athens to make them more humane, and set the city on the road to democracy?
",Solon,"['#Q Who was the statesman who re-codified the laws of Athens to make them more humane, and set the city on the road to democracy?\n'
 '^ Solon\n' 'A Pericles\n' 'B Draco\n' 'C Phidias\n' 'D Solon\n']"
"#Q Which Athenian sculptor, who worked almost exclusively with bronze, created the classic statue, The Discus Thrower?
",Myron,"['#Q Which Athenian sculptor, who worked almost exclusively with bronze, created the classic statue, The Discus Thrower?\n'
 '^ Myron\n' 'A Polyclitus\n' 'B Myron\n' 'C Phidias\n' 'D Hesoid\n']"
"#Q Who was the faithful wife of Odysseus who waited 20 years for his return from the Trojan War?
",Penelope,"['#Q Who was the faithful wife of Odysseus who waited 20 years for his return from the Trojan War?\n'
 '^ Penelope\n' 'A Penelope\n' 'B Mentor\n' 'C Aspasia\n' 'D Telemachus\n']"
"#Q This Victorian politician, best remembered as the originator of the modern police force, sought to repeal the Corn Laws as a measure to fight the Irish potato famine.
",Sir Robert Peel,"['#Q This Victorian politician, best remembered as the originator of the modern police force, sought to repeal the Corn Laws as a measure to fight the Irish potato famine.\n'
 '^ Sir Robert Peel\n' 'A George Anning\n' 'B Sir Robert Peel\n'
 'C Sir Arthur Wellesly\n' 'D Lord Goderich\n']"
"#Q The Great Exhibition, a symbol of the Victorian Age, was held in London in what year?
",1851,"['#Q The Great Exhibition, a symbol of the Victorian Age, was held in London in what year?\n'
 '^ 1851\n' 'A 1900\n' 'B 1862\n' 'C 1850\n' 'D 1851\n']"
"#Q This British engineer is best known as the creator of the Great Western Railway, during the Victorian Age.
",Isambard Kingdom Brunel,"['#Q This British engineer is best known as the creator of the Great Western Railway, during the Victorian Age.\n'
 '^ Isambard Kingdom Brunel\n' 'A R.P. Brereton\n'
 'B Isambard Kingdom Brunel\n' 'C Henry Robinson Palmer\n'
 'D George Stephenson\n']"
"#Q This woman was a Victorian era feminist, especially concerned with the welfare of working girls.
",Josephine Butler,"['#Q This woman was a Victorian era feminist, especially concerned with the welfare of working girls.\n'
 '^ Josephine Butler\n' 'A Anne Clough\n' 'B Josephine Butler\n'
 'C Emily Davies\n' 'D Frances Buss\n']"
"#Q This person attempted to assassinate Queen Victoria during her first pregnancy.
",Edward Oxford,"['#Q This person attempted to assassinate Queen Victoria during her first pregnancy.\n'
 '^ Edward Oxford\n' 'A John William Bean\n' 'B Edward Oxford\n'
 'C John Francis\n' 'D William trounce\n']"
"#Q Issued during the Victorian period, it is the name of the worlds first official adhesive postage stamp.
",Penny Black,"['#Q Issued during the Victorian period, it is the name of the worlds first official adhesive postage stamp.\n'
 '^ Penny Black\n' 'A Penny Red\n' 'B Penny Gold\n' 'C Penny Black\n'
 'D Penny Blue\n']"
"#Q This vessel, one of the symbols of progress during the Victorian Era, was the first steam ship purposely built for Atlantic crossing.
",SS Great Western,"['#Q This vessel, one of the symbols of progress during the Victorian Era, was the first steam ship purposely built for Atlantic crossing.\n'
 '^ SS Great Western\n' 'A SS Sirius\n' 'B SS British Queen\n'
 'C SS Great Britain\n' 'D SS Great Western\n']"
"#Q The Salvation Army, a world-wide charity organization, was established in what year?
",1865,"['#Q The Salvation Army, a world-wide charity organization, was established in what year?\n'
 '^ 1865\n' 'A 1835\n' 'B 1895\n' 'C 1865\n' 'D 1885\n']"
"#Q He served as the head of the London Metropolitan Police during the period of the Jack the Ripper Murders.
",Sir Charles Warren,"['#Q He served as the head of the London Metropolitan Police during the period of the Jack the Ripper Murders.\n'
 '^ Sir Charles Warren\n' 'A Godfrey Lushington\n'
 'B Sir Charles Warren\n' 'C James Monro\n' 'D Sir Edmund Henderson\n']"
"#Q Name the British socialist intellectual movement, among whose members was the famous Irish playwright Bernard Shaw.
",Fabian Society,"['#Q Name the British socialist intellectual movement, among whose members was the famous Irish playwright Bernard Shaw.\n'
 '^ Fabian Society\n' 'A Victorian Socialist Society\n'
 'B League for Social Reconstruction\n' 'C Fabian Society\n'
 'D The Fellowship of the New Life\n']"
"#Q This famous siege took place in 1453 under the command of Sultan Mehmed II. It marked the end of the Eastern Roman Empire and made Ottoman rule over the Balkans and Eastern Mediterranean inevitable. Although the city was one of the richest in the world and was thought to be impregnable, Mehmed II marched through its streets and was later nick-named the Conqueror. What was the name of this great city?
",Constantinople,"['#Q This famous siege took place in 1453 under the command of Sultan Mehmed II. It marked the end of the Eastern Roman Empire and made Ottoman rule over the Balkans and Eastern Mediterranean inevitable. Although the city was one of the richest in the world and was thought to be impregnable, Mehmed II marched through its streets and was later nick-named the Conqueror. What was the name of this great city?\n'
 '^ Constantinople\n' 'A Constantinople\n' 'B Damascus\n' 'C Rome\n'
 'D Vienna\n']"
