Problem,Rationale,options,correct,annotated_formula,linear_formula,category
what will be the remainder when 17 ^ 200 is divided by 18,"""17 ^ 200 % 18 ( 17 - 18 ) ^ 200 % 18 ( - 1 ) ^ 200 % 18 1 % 18 = 1 answer : a""","a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",a,"power(17, 17)","power(n0,n0)|",general
"sakshi invests a part of rs . 12000 in 12 % stock at rs . 120 and the remainder in 15 % stock at rs . 125 . if his total dividend per annum is rs . 1360 , how much does he invest in 12 % stock at rs . 120 ?","let investment in 12 % stock be rs . x . then , investment in 15 % stock = rs . ( 12000 - x ) . 12 / 120 * x + 15 / 125 * ( 12000 - x ) = 1360 x / 10 + 3 / 25 ( 12000 - x ) = 1360 5 x + 72000 - 6 x = 1360 x 50 x = 4000 . answer = a","a ) rs . 4000 , b ) rs . 4500 , c ) rs . 5500 , d ) rs . 6000 , e ) rs . 6500",a,"divide(subtract(1360, multiply(divide(15, 125), 12000)), subtract(divide(12, 120), divide(15, 125)))","divide(n3,n4)|divide(n1,n2)|multiply(n0,#0)|subtract(#1,#0)|subtract(n5,#2)|divide(#4,#3)",general
"xavier , yvonne , and zelda each try independently to solve a problem . if their individual probabilities for success are 1 / 5 , 1 / 2 and 5 / 8 , respectively , what is the probability that xavier and yvonne , but not zelda , will solve the problem ?","""p ( xavier will solve ) = 1 / 5 p ( yvonne will solve ) = 1 / 2 p ( zelda will not solve ) = 1 - 5 / 8 = 3 / 8 . now , we need to multiply all this ps to find an answer : p = ( 1 / 5 ) * ( 1 / 2 ) * ( 3 / 8 ) = 3 / 80 . ans . b .""","a ) 11 / 8 , b ) 3 / 80 , c ) 9 / 64 , d ) 5 / 64 , e ) 3 / 64",b,"multiply(multiply(divide(1, 5), divide(1, 2)), subtract(1, divide(5, 8)))","divide(n0,n1)|divide(n2,n3)|divide(n4,n5)|multiply(#0,#1)|subtract(n0,#2)|multiply(#3,#4)|",general
"in a college , the ratio of the number of boys to girls is 8 : 5 . if there are 400 girls , the total number of students in the college is","""explanation : let the boy are 8 x and girls are 5 x = > 5 x = 400 = > x = 80 total students = 8 x + 5 x = 13 x = 13 ( 80 ) = 1040 option a""","a ) 1040 , b ) 920 , c ) 980 , d ) 720 , e ) 820",a,"add(400, multiply(divide(400, 5), 8))","divide(n2,n1)|multiply(n0,#0)|add(n2,#1)|",other
the tax on a commodity is diminished by 18 % and its consumption increased by 15 % . the effect on revenue is ?,"""100 * 100 = 10000 82 * 115 = 9430 - - - - - - - - - - - 10000 - - - - - - - - - - - 570 100 - - - - - - - - - - - ? = > 5.7 % decrease answer : c""","a ) 2 % , b ) 8.7 % , c ) 5.7 % , d ) 6.7 % , e ) 1 %",c,"subtract(const_100, multiply(multiply(add(const_1, divide(15, const_100)), subtract(const_1, divide(18, const_100))), const_100))","divide(n1,const_100)|divide(n0,const_100)|add(#0,const_1)|subtract(const_1,#1)|multiply(#2,#3)|multiply(#4,const_100)|subtract(const_100,#5)|",general
a can do a job in 10 days and b can do it in 30 days . a and b working together will finish twice the amount of work in - - - - - - - days ?,"""explanation : 1 / 10 + 1 / 30 = 4 / 30 = 2 / 15 15 / 2 = 15 / 2 * 2 = 15 days answer : d""","a ) 21 ½ days , b ) 22 ½ days , c ) 23 ½ days , d ) 15 days , e ) none of these",d,"add(divide(const_1, 10), divide(const_1, 30))","divide(const_1,n0)|divide(const_1,n1)|add(#0,#1)|",physics
"if jamie ' s income is rs 20000 , calculate his savings given that his income and expenditure are in the ratio 7 : 5 . ?","let the income and the expenditure of the person be rs . 7 x and rs . 7 x respectively . income , 7 x = 28000 = > x = 4000 savings = income - expenditure = 7 x - 5 x = 2 x so , savings = rs . 8000 answer : d","a ) rs 7500 , b ) rs 4000 , c ) rs 2000 , d ) rs 8000 , e ) rs 7000",d,"multiply(divide(5, add(7, 5)), 20000)","add(n1,n2)|divide(n2,#0)|multiply(n0,#1)",other
a sum fetched a total simple interest of rs . 4016.25 at the rate of 1 % p . a . in 5 years . what is the sum ?,"""principal = ( 100 * 4016.25 ) / ( 1 * 5 ) = rs . 80325 . answer : e""","a ) 82762 , b ) 12877 , c ) 82882 , d ) 80925 , e ) 80325",e,"divide(divide(multiply(4016.25, const_100), 1), 5)","multiply(n0,const_100)|divide(#0,n1)|divide(#1,n2)|",gain
"on thrusday mabel handled 90 transactions . anthony handled 10 % more transaction than mabel , cal handled 2 / 3 rds of the transactions that anthony handled and jade handled 16 more transaction than cal . how much transaction did jade handled ?","mabel handled 90 transaction , anthony 10 % more transaction the mabel . anthony = 90 + 90 * 10 % , = 90 + 90 * 0.10 , = 90 + 9 , = 99 , cal handled 2 / 3 rds than anthony handled , cal = 2 / 3 * 99 = 66 , jade handled 16 more than cal . jade = 66 + 16 = 82 , jade handled = 82 tranasactions . correct answer : ( d )","a ) 92 , b ) 80 , c ) 72 , d ) 82 , e ) 28",d,"add(divide(multiply(add(90, divide(90, 10)), 2), 3), 16)","divide(n0,n1)|add(n0,#0)|multiply(n2,#1)|divide(#2,n3)|add(n4,#3)",general
"jar x is 1 / 3 full of water . jar y , which has half the capacity of jar x , is 1 / 2 full of water . if the water in jar y is poured into jar x , then jar x will be filled to what fraction of its capacity ?","""let p be the capacity of jar x . the amount of water in jar y is 1 / 2 * p / 2 = p / 4 then the total amount in jar x is p / 3 + p / 4 = 7 p / 12 the answer is c .""","a ) 5 / 6 , b ) 5 / 12 , c ) 7 / 12 , d ) 7 / 18 , e ) 11 / 18",c,"add(divide(1, 3), multiply(divide(1, 3), divide(1, 3)))","divide(n0,n1)|multiply(#0,#0)|add(#0,#1)|",general
"a cement mixture is composed of 3 elements . by weight , 1 / 3 of the mixture is sand , 1 / 4 of the mixture is water , and the remaining 10 pounds of the mixture is gravel . what is the weight of the entire mixture in pounds ?","""let the total weight be x . sand content = ( 1 / 3 ) x water content = ( 1 / 4 ) x gravel = x - ( 1 / 3 ) x - ( 1 / 4 ) x = ( 5 / 12 ) x = 10 x = 24 then answer will be a = 24""","a ) 24 , b ) 26 , c ) 28 , d ) 30 , e ) 36",a,"divide(10, subtract(1, add(divide(1, 3), divide(1, 4))))","divide(n1,n2)|divide(n3,n4)|add(#0,#1)|subtract(n1,#2)|divide(n5,#3)|",general
0.01 is what percent of 0.1 ?,"""required percentage = 0.01 * 100 / 0.1 = 100 / 10 = 10 % answer is b""","a ) 1 % , b ) 10 % , c ) 100 % , d ) 50 % , e ) 25 %",b,"multiply(divide(0.01, 0.1), const_100)","divide(n0,n1)|multiply(#0,const_100)|",gain
a 300 m long train crosses a platform in 39 sec while it crosses a signal pole in 26 sec . what is the length of the platform ?,"""speed = 300 / 26 = 150 / 13 m / sec . let the length of the platform be x meters . then , ( x + 300 ) / 39 = 150 / 13 = > x = 150 m . answer : b""","a ) 389 m , b ) 150 m , c ) 289 m , d ) 299 m , e ) 219 m",b,"subtract(multiply(speed(300, 26), 39), 300)","speed(n0,n2)|multiply(n1,#0)|subtract(#1,n0)|",physics
9 persons went to a hotel for taking their meals . 8 of them spent rs 12 each on their meals and the ninth spent rs . 8 more than the average expenditure of all the 9 . what was the total money spent by them ?,"exp . let the total expenditure be x , then the average = x / 9 , 8 * 12 + [ x / 9 + 8 ] = x or [ x - x / 9 ] = 104 . 8 x / 9 = 104 , x = 104 * 9 / 8 = 117 . answer : a","a ) 117 , b ) 180 , c ) 150 , d ) 200 , e ) 250",a,"multiply(9, divide(add(multiply(8, 12), 8), subtract(9, const_1)))","multiply(n1,n2)|subtract(n0,const_1)|add(n1,#0)|divide(#2,#1)|multiply(n0,#3)",general
a car started running at a speed of 30 km / hr and the speed of the car was increased by 2 km / hr at the end of every hour . find the total distance covered by the car in the first 7 hours of the journey .,"""the total distance covered by the car in the first 7 hours = 30 + 32 + 34 + 36 + 38 + 40 + 42 = sum of 7 terms in ap whose first term is 30 and last term is 42 = 7 / 2 [ 30 + 42 ] = 252 km . answer : c""","a ) 342 km , b ) 352 km , c ) 252 km , d ) 742 km , e ) 382 km",c,"divide(add(add(30, multiply(2, 7)), 30), 2)","multiply(n1,n2)|add(n0,#0)|add(n0,#1)|divide(#2,n1)|",physics
"the average ( arithmetic mean ) of 4 positive integers is 40 . if the average of 2 of these integers is 45 , what is the greatest possible value that one of the other 2 integers can have ?",a + b + c + d = 160 a + b = 90 c + d = 70 greatest possible = 69 ( just less than 1 ) answer = b,"a ) 55 , b ) 69 , c ) 100 , d ) 109 , e ) 115",b,"subtract(multiply(40, 4), multiply(45, 2))","multiply(n0,n1)|multiply(n2,n3)|subtract(#0,#1)",general
what is the least number of square tiles required to pave the floor of a room 12 m 12 cm long and 1 m 20 cm broad ?,"""solution length of largest tile = h . c . f . of 1212 cm & 120 cm = 12 cm . area of each tile = ( 12 x 12 ) cm 2 ∴ required number of tiles = [ 1212 x 120 / 12 x 12 ] = 1010 . answer a""","a ) 1010 , b ) 804 , c ) 814 , d ) 844 , e ) none",a,"divide(multiply(add(multiply(1, const_100), 20), multiply(12, const_100)), power(20, const_2))","multiply(n2,const_100)|multiply(n0,const_100)|power(n3,const_2)|add(n3,#0)|multiply(#3,#1)|divide(#4,#2)|",physics
"if 2 x = 3 √ 32 , then x is equal to :","""sol . 2 x = 3 √ 32 ⇔ 2 x = ( 32 ) 1 / 3 = ( 25 ) 1 / 3 = 25 / 3 ⇔ x = 5 / 3 . answer b""","a ) 3 / 5 , b ) 5 / 3 , c ) 15 , d ) 25 , e ) none",b,"divide(subtract(divide(multiply(2, const_100), const_2), const_2), add(divide(multiply(2, const_100), const_2), const_2))","multiply(n0,const_100)|divide(#0,const_2)|add(#1,const_2)|subtract(#1,const_2)|divide(#3,#2)|",general
a train running at the speed of 48 km / hr crosses a pole in 9 seconds . find the length of the train ?,"""speed = 48 * ( 5 / 18 ) m / sec = 40 / 3 m / sec length of train ( distance ) = speed * time ( 40 / 3 ) * 9 = 120 meter answer : a""","a ) 120 meter , b ) 299 meter , c ) 666 meter , d ) 155 meter , e ) 144 meter",a,"multiply(divide(multiply(48, const_1000), const_3600), 9)","multiply(n0,const_1000)|divide(#0,const_3600)|multiply(n1,#1)|",physics
"a cricket player whose bowling average was 20.5 runs per wicket , takes 5 wicket for 52 runs in a match . due to this his average decreases by 0.5 . what will be the number of wickets taken by him till the last match ?","""average = total runs / total wickets total runs after last match = 20.5 w + 52 total wickets after last match = w + 5 ( 20.5 w + 52 ) / ( w + 5 ) = 20.5 - 0.5 = 20 w = 96 so total wickets aftr last match = w + 5 = 101 answer : c""","a ) 64 , b ) 72 , c ) 101 , d ) 111 , e ) 128",c,"divide(subtract(multiply(subtract(20.5, 0.5), 5), 52), 0.5)","subtract(n0,n3)|multiply(n1,#0)|subtract(#1,n2)|divide(#2,n3)|",general
"if a trader sold two cars each at rs . 325475 and gains 11 % on the first and loses 11 % on the second , then his profit or loss percent on the whole is ?","""sp of each car is rs . 325475 , he gains 11 % on first car and losses 11 % on second car . in this case , there will be loss and percentage of loss is given by = [ ( profit % ) ( loss % ) ] / 100 = ( 11 ) ( 11 ) / 100 % = 1.21 % answer : a""","a ) 1.21 % , b ) 1.74 % , c ) 1.84 % , d ) 1.47 % , e ) 1.24 %",a,"divide(multiply(11, 11), const_100)","multiply(n1,n1)|divide(#0,const_100)|",gain
"3 buffaloes eat as much as 4 cows or 2 oxen . at a farm , there are 15 buffaloes , 8 oxen , and 24 cows . the fodder for these cattle is available for 36 days . if 40 more cows and 15 more buffaloes are brought in , how many days will the fodder last ?","""2 oxen = 3 buffaloes = 4 cows also : 15 buffaloes + 8 oxen + 24 cows = 10 oxen + 8 oxen + 12 oxen = 30 oxen there is enough fodder for 1 oxen for 30 * 36 days . 40 cows + 15 buffaloes = 20 oxen + 10 oxen = 30 oxen the new total is equal to 60 oxen instead of 30 oxen . 30 * 36 / 60 oxen = 18 days the answer is b .""","a ) 15 days , b ) 18 days , c ) 21 days , d ) 24 days , e ) 27 days",b,"divide(multiply(36, add(add(15, multiply(divide(24, 4), 3)), multiply(divide(8, 2), 3))), add(add(add(15, 15), multiply(divide(add(24, 40), 4), 3)), multiply(divide(8, 2), 3)))","add(n3,n8)|add(n5,n7)|divide(n5,n1)|divide(n4,n2)|divide(#1,n1)|multiply(n0,#2)|multiply(n0,#3)|add(n3,#5)|multiply(n0,#4)|add(#7,#6)|add(#0,#8)|add(#10,#6)|multiply(n6,#9)|divide(#12,#11)|",general
for any non - zero a and b that satisfy | ab | = ab and | a | = a | b - 4 | + | ab - b | = ?,"| ab | = ab and | a | = - a = > b is also negative . so | b - 4 | + | ab - b | = ( b - 4 ) + ab - b ( as ab is positive and - b is positive , so expression is totally positive ) = b - 4 + ab - b = ab - 4 answer - a","a ) ab - 4 , b ) 2 b - ab - 4 , c ) ab + 4 , d ) ab - 2 b + 4 , e ) 4 - ab",a,"subtract(subtract(const_1, const_1), 4)","subtract(const_1,const_1)|subtract(#0,n0)",general
"p software has coding line 5 % more than n , n software has coding line 1 / 3 more than m . m software has 90 lines of coding . find p lines .",m s / w has 90 line of code n s / w has = 90 + 90 * 1 / 3 = 120 line of code p s / w 5 % more n ' code 120 + 6 = 126 answer : c,"a ) 106 , b ) 107 , c ) 126 , d ) 109 , e ) 110",c,"add(90, divide(90, 3))","divide(n3,n2)|add(n3,#0)",general
"the length of a rectangle is 4 times its width . if the width of the rectangle is 5 inches , what is the rectangle ' s area , in square inches ?","""if the width is 5 in and the length is 4 times the width , then the length is 4 * 5 = 20 in the area is given by 5 * 20 = 100 square inches correct answer c""","a ) 30 square inches , b ) 75 square inches , c ) 100 square inches , d ) 89 square inches , e ) 92 square inches",c,"rectangle_area(5, multiply(4, 5))","multiply(n0,n1)|rectangle_area(n1,#0)|",geometry
a and b go around a circular track of length 1800 m on a cycle at speeds of 36 kmph and 54 kmph . after how much time will they meet for the first time at the starting point ?,"time taken to meet for the first time at the starting point = lcm { length of the track / speed of a , length of the track / speed of b } = lcm { 1800 / ( 36 * 5 / 18 ) , 1800 / ( 54 * 5 / 18 ) } = lcm ( 180 , 120 ) = 360 sec . answer : e","a ) 120 sec , b ) 165 sec , c ) 186 sec , d ) 167 sec , e ) 360 sec",e,"divide(1800, subtract(multiply(54, const_0_2778), multiply(36, const_0_2778)))","multiply(n2,const_0_2778)|multiply(n1,const_0_2778)|subtract(#0,#1)|divide(n0,#2)",physics
"if f ( x ) = 3 x ^ 4 - 4 x ^ 3 - 3 x ^ 2 + 6 x , then f ( - 1 ) =",f ( - 1 ) = 3 ( - 1 ) ^ 4 - 4 ( - 1 ) ^ 3 - 3 ( - 1 ) ^ 2 + 6 ( - 1 ) = 3 + 4 - 3 - 6 = - 2 the answer is a .,"a ) - 2 , b ) - 1 , c ) 0 , d ) 1 , e ) 2",a,"add(subtract(subtract(multiply(3, power(negate(1), 4)), multiply(4, power(negate(1), 3))), multiply(3, power(negate(1), 2))), multiply(6, negate(1)))","negate(n7)|multiply(n6,#0)|power(#0,n1)|power(#0,n0)|power(#0,n5)|multiply(n0,#2)|multiply(n1,#3)|multiply(n0,#4)|subtract(#5,#6)|subtract(#8,#7)|add(#1,#9)",general
"the greatest common divisor of ( b - 2 ) ! , ( b + 1 ) ! , and ( b + 4 ) ! is 5040 . what is the value of b ?","gcd of ( b - 2 ) ! , ( b + 1 ) ! , and ( b + 4 ) ! is 5040 . find x . best way to find n is substitute each of the answer and find out the correct one . only option d gave the correct answer . option d : 9 and find gcd or 7 ! , 10 ! and 13 ! . 7 ! itself is 5040 and 7 ! which is contained in the other two factorials . this satisfies the condition , hence answer is 9 . answer is d .","a ) 8 , b ) 10 , c ) 12 , d ) 9 , e ) 6",d,"add(add(4, 4), 1)","add(n2,n2)|add(n1,#0)",general
the length of a side of a hexagon is 10 inches . what is the perimeter ?,"""hexagon . it means 6 equal sides . p = 6 ( 10 ) = 60 inches answer e""","a ) 10 , b ) 20 , c ) 30 , d ) 40 , e ) 60",e,"multiply(10, multiply(const_3, const_2))","multiply(const_2,const_3)|multiply(n0,#0)|",physics
"in february wilson ’ s earnings were 40 percent of his family ’ s total income . in march wilson earned 25 percent less than in february . if the rest of his family ’ s income was the same in both months , then , in march , wilson ’ s earnings were approximately what percent s of his family ’ s total income ?","""lets suppose the total family income in feb = 100 x wilson ' s earning in feb = 40 % of 100 x = 40 x earnings of remaining family in feb = 100 x - 40 x = 60 x wilson ' s earning in march = 75 % of wilson ' s feb earnings = 75 % of 40 x = 30 x earnings of remaining family in march = earnings of remaining family in feb = 60 x thus wilson ' s earning as % of total family income in march s = 30 x / ( 30 + 60 ) x = 30 x / 90 x = 33.33 % thus answer is e""","a ) 15 % , b ) 17 % , c ) 24 % , d ) 30 % , e ) 33 %",e,"multiply(divide(subtract(divide(40, const_100), multiply(divide(25, const_100), divide(40, const_100))), subtract(const_1, multiply(divide(25, const_100), divide(40, const_100)))), const_100)","divide(n0,const_100)|divide(n1,const_100)|multiply(#1,#0)|subtract(#0,#2)|subtract(const_1,#2)|divide(#3,#4)|multiply(#5,const_100)|",general
"if a : b = 1 : 4 , b : c = 13 : 9 , c : d = 5 : 13 , find a : d ?",a / d = ( 1 / 4 ) * ( 13 / 9 ) * ( 5 / 13 ) = > 5 / 36 answer : d,"a ) 5 / 46 , b ) 7 / 36 , c ) 1 / 36 , d ) 5 / 36 , e ) 5 / 37",d,"divide(multiply(multiply(1, 13), 5), multiply(multiply(4, 9), 13))","multiply(n0,n2)|multiply(n1,n3)|multiply(n4,#0)|multiply(n2,#1)|divide(#2,#3)",general
"in a rectangular coordinate system , what is the area of a rectangle whose vertices have the coordinates ( - 5 , 1 ) , ( 1 , 1 ) , ( 1 , - 4 ) and ( - 5 , - 4 ) ?",length of side 1 = 5 + 1 = 6 length of side 2 = 4 + 1 = 5 area of rectangle = 6 * 5 = 30 b is the answer,"['a ) 20', 'b ) 30', 'c ) 40', 'd ) 55', 'e ) 48']",b,"multiply(add(5, 1), add(1, 4))","add(n0,n1)|add(n1,n5)|multiply(#0,#1)",geometry
"population of a city in 20004 was 1000000 . if in 2005 there isan increment of 15 % , in 2006 there is a decrements of 35 % and in 2007 there is an increment of 30 % , then find the population of city atthe end of the year 2007","""required population = p ( 1 + r 1 / 100 ) ( 1 - r 2 / 100 ) ( 1 + r 3 / 100 ) = p ( 1 + 15 / 100 ) ( 1 - 35 / 100 ) ( 1 + 30 / 100 ) = 971750 b""","a ) 976374 , b ) 971750 , c ) 980241 , d ) 2356677 , e ) 1083875",b,"multiply(1000000, multiply(multiply(add(const_1, divide(15, const_100)), subtract(const_1, divide(35, const_100))), add(const_1, divide(35, const_100))))","divide(n5,const_100)|divide(n3,const_100)|add(#0,const_1)|add(#1,const_1)|subtract(const_1,#0)|multiply(#3,#4)|multiply(#2,#5)|multiply(n1,#6)|",gain
